time,U1,U2,U3
0.24,0.792086,1.00025,1.00025
0.241,0.792646,1.00025,1.00025
0.242,0.792044,1.00025,1.00025
0.243,0.793181,1.00025,1.00025
0.244,0.792282,1.00025,1.00026
0.245,0.792536,1.00025,1.00026
0.246,0.791326,1.00025,1.00026
0.247,0.792127,1.00025,1.00026
0.248,0.792299,1.00025,1.00027
0.249,0.79205,1.00025,1.00029
0.25,0.790557,1.00027,1.00039
0.251,0.797187,1.00021,1.0001
0.252,0.793626,1.00023,1.0002
0.253,0.793214,1.00024,1.00021
0.254,0.792181,1.00024,1.00022
0.255,0.792964,1.00024,1.00023
0.256,0.792907,1.00024,1.00023
0.257,0.792577,1.00024,1.00023
0.258,0.792836,1.00024,1.00023
0.259,0.792812,1.00024,1.00024
0.26,0.792596,1.00024,1.00024
0.261,0.792481,1.00024,1.00024
0.262,0.792173,1.00024,1.00024
0.263,0.792737,1.00024,1.00024
0.264,0.792429,1.00024,1.00024
0.265,0.7927,1.00024,1.00024
0.266,0.792097,1.00024,1.00024
0.267,0.792066,1.00024,1.00024
0.268,0.792212,1.00024,1.00024
0.269,0.791922,1.00024,1.00024
0.27,0.792119,1.00024,1.00024
0.271,0.79319,1.00024,1.00024
0.272,0.793005,1.00024,1.00024
0.273,0.792299,1.00024,1.00024
0.274,0.792246,1.00024,1.00024
0.275,0.791052,1.00024,1.00024
0.276,0.791902,1.00024,1.00024
0.277,0.792177,1.00024,1.00024
0.278,0.792163,1.00024,1.00024
0.279,0.792152,1.00024,1.00024
0.28,0.792723,1.00024,1.00024
0.281,0.792132,1.00024,1.00024
0.282,0.792705,1.00024,1.00024
0.283,0.792696,1.00024,1.00024
0.284,0.792688,1.00024,1.00024
0.285,0.79326,1.00024,1.00024
0.286,0.79267,1.00024,1.00025
0.287,0.791499,1.00024,1.00025
0.288,0.79207,1.00024,1.00025
0.289,0.79264,1.00024,1.00025
0.29,0.792047,1.00024,1.00025
0.291,0.792324,1.00024,1.00025
0.292,0.792598,1.00024,1.00025
0.293,0.791997,1.00024,1.00025
0.294,0.792264,1.00024,1.00025
0.295,0.791941,1.00024,1.00025
0.296,0.792014,1.00024,1.00026
0.297,0.792122,1.00024,1.00026
0.298,0.792303,1.00025,1.00028
0.299,0.791493,1.00025,1.0003
0.3,0.791126,1.00027,1.00042
0.301,0.799652,1.00021,1.00007
0.302,0.79311,1.00023,1.00018
0.303,0.792772,1.00023,1.0002
0.304,0.792679,1.00023,1.00021
0.305,0.792628,1.00023,1.00022
0.306,0.79263,1.00023,1.00022
0.307,0.792107,1.00024,1.00023
0.308,0.792853,1.00023,1.00023
0.309,0.79225,1.00023,1.00023
0.31,0.792039,1.00023,1.00023
0.311,0.792024,1.00024,1.00023
0.312,0.792108,1.00024,1.00023
0.313,0.791779,1.00023,1.00023
0.314,0.792018,1.00023,1.00023
0.315,0.792873,1.00024,1.00023
0.316,0.792749,1.00023,1.00023
0.317,0.792451,1.00024,1.00023
0.318,0.792153,1.00024,1.00023
0.319,0.791981,1.00024,1.00023
0.32,0.792058,1.00023,1.00023
0.321,0.79228,1.00023,1.00023
0.322,0.79271,1.00023,1.00023
0.323,0.792269,1.00023,1.00024
0.324,0.792409,1.00023,1.00024
0.325,0.792082,1.00023,1.00024
0.326,0.792233,1.00023,1.00024
0.327,0.792577,1.00023,1.00024
0.328,0.792096,1.00023,1.00024
0.329,0.791626,1.00023,1.00024
0.33,0.792303,1.00023,1.00024
0.331,0.792312,1.00023,1.00024
0.332,0.792655,1.00023,1.00024
0.333,0.791704,1.00023,1.00024
0.334,0.792133,1.00023,1.00024
0.335,0.791859,1.00023,1.00024
0.336,0.791797,1.00023,1.00024
0.337,0.791893,1.00023,1.00024
0.338,0.792195,1.00023,1.00024
0.339,0.792244,1.00023,1.00024
0.34,0.792118,1.00023,1.00024
0.341,0.791828,1.00023,1.00024
0.342,0.791978,1.00023,1.00024
0.343,0.79187,1.00023,1.00025
0.344,0.791977,1.00023,1.00025
0.345,0.791873,1.00023,1.00025
0.346,0.792444,1.00023,1.00025
0.347,0.791889,1.00023,1.00026
0.348,0.791695,1.00024,1.00027
0.349,0.792067,1.00024,1.0003
0.35,0.790505,1.00026,1.00044
0.351,0.818006,1.0002,1.00003
0.352,0.792293,1.00022,1.00016
0.353,0.793047,1.00022,1.00019
0.354,0.792166,1.00022,1.0002
0.355,0.792941,1.00023,1.00021
0.356,0.792431,1.00023,1.00021
0.357,0.792003,1.00023,1.00021
0.358,0.792296,1.00023,1.00022
0.359,0.792324,1.00023,1.00022
0.36,0.792031,1.00023,1.00022
0.361,0.792755,1.00023,1.00022
0.362,0.79216,1.00023,1.00022
0.363,0.792397,1.00022,1.00022
0.364,0.792296,1.00022,1.00022
0.365,0.792244,1.00023,1.00022
0.366,0.792235,1.00022,1.00022
0.367,0.792216,1.00022,1.00022
0.368,0.792218,1.00022,1.00022
0.369,0.792135,1.00022,1.00022
0.37,0.792037,1.00022,1.00022
0.371,0.792175,1.00022,1.00022
0.372,0.792195,1.00022,1.00022
0.373,0.792062,1.00022,1.00022
0.374,0.792054,1.00022,1.00022
0.375,0.791929,1.00022,1.00022
0.376,0.792202,1.00022,1.00022
0.377,0.792098,1.00022,1.00022
0.378,0.792143,1.00022,1.00022
